frame_idx,time_sec,detected,det_x1,det_y1,det_x2,det_y2,det_cx,det_cy,track_cx,track_cy,track_vx,track_vy,confidence,missing_count,note
206,8.24,0,,,,,,,,,,,1.0,0,uninitialised
207,8.28,0,,,,,,,,,,,1.0,0,uninitialised
208,8.32,0,,,,,,,,,,,1.0,0,uninitialised
209,8.36,0,,,,,,,,,,,1.0,0,uninitialised
210,8.4,0,,,,,,,,,,,1.0,0,uninitialised
211,8.44,0,,,,,,,,,,,1.0,0,uninitialised
212,8.48,0,,,,,,,,,,,1.0,0,uninitialised
213,8.52,0,,,,,,,,,,,1.0,0,uninitialised
214,8.56,0,,,,,,,,,,,1.0,0,uninitialised
215,8.6,0,,,,,,,,,,,1.0,0,uninitialised
216,8.64,0,,,,,,,,,,,1.0,0,uninitialised
217,8.68,0,,,,,,,,,,,1.0,0,uninitialised
218,8.72,0,,,,,,,,,,,1.0,0,uninitialised
219,8.76,0,,,,,,,,,,,1.0,0,uninitialised
220,8.8,0,,,,,,,,,,,1.0,0,uninitialised
221,8.84,0,,,,,,,,,,,1.0,0,uninitialised
222,8.88,0,,,,,,,,,,,1.0,0,uninitialised
223,8.92,0,,,,,,,,,,,1.0,0,uninitialised
224,8.96,0,,,,,,,,,,,1.0,0,uninitialised
225,9.0,0,,,,,,,,,,,1.0,0,uninitialised
226,9.04,0,,,,,,,,,,,1.0,0,uninitialised
227,9.08,0,,,,,,,,,,,1.0,0,uninitialised
228,9.12,0,,,,,,,,,,,1.0,0,uninitialised
229,9.16,0,,,,,,,,,,,1.0,0,uninitialised
230,9.2,0,,,,,,,,,,,1.0,0,uninitialised
231,9.24,0,,,,,,,,,,,1.0,0,uninitialised
232,9.28,0,,,,,,,,,,,1.0,0,uninitialised
233,9.32,0,,,,,,,,,,,1.0,0,uninitialised
234,9.36,0,,,,,,,,,,,1.0,0,uninitialised
235,9.4,0,,,,,,,,,,,1.0,0,uninitialised
236,9.44,0,,,,,,,,,,,1.0,0,uninitialised
237,9.48,0,,,,,,,,,,,1.0,0,uninitialised
238,9.52,0,,,,,,,,,,,1.0,0,uninitialised
239,9.56,0,,,,,,,,,,,1.0,0,uninitialised
240,9.6,0,,,,,,,,,,,1.0,0,uninitialised
241,9.64,0,,,,,,,,,,,1.0,0,uninitialised
242,9.68,0,,,,,,,,,,,1.0,0,uninitialised
243,9.72,0,,,,,,,,,,,1.0,0,uninitialised
244,9.76,0,,,,,,,,,,,1.0,0,uninitialised
245,9.8,0,,,,,,,,,,,1.0,0,uninitialised
246,9.84,0,,,,,,,,,,,1.0,0,uninitialised
247,9.88,0,,,,,,,,,,,1.0,0,uninitialised
248,9.92,0,,,,,,,,,,,1.0,0,uninitialised
249,9.96,0,,,,,,,,,,,1.0,0,uninitialised
